GarageArea,GrLivArea,OverallQual,TotalBsmtSF
774,1828,9,1822
308,894,5,894
432,964,5,876
857,1689,8,1568
843,1541,7,1541
400,1221,7,1221
440,1324,6,1088
484,1416,7,696
297,988,4,462
440,1218,6,735
397,1656,7,746
460,1362,6,1362
442,1839,6,756
451,1375,6,1367
528,1122,5,924
588,1432,5,1360
400,1456,7,728
497,1217,7,1188
625,1040,5,0
528,1224,6,612
468,1774,7,952
384,1367,5,861
297,1360,5,803
420,848,6,848
749,2262,8,1482
396,1220,4,836
398,1414,7,1375
396,2058,6,735
0,1198,6,901
499,1659,8,1501
308,1012,6,1012
672,3082,7,824
672,1812,5,360
650,1929,7,1057
576,954,5,911
765,1838,9,1838
924,1640,6,1296
672,1148,5,1148
280,950,5,950
471,1911,8,777
440,1635,6,1065
440,1316,7,1316
615,1442,6,1442
500,1078,5,1078
544,1120,4,1040
527,1419,8,408
240,1389,7,651
280,1063,5,1056
874,1792,9,1792
402,1216,6,1216
576,1762,7,596
434,1959,7,847
546,1208,6,1208
315,1524,5,874
240,1154,4,796
420,1048,5,0
273,886,5,190
600,943,5,943
603,1768,7,866
779,2599,9,1393
275,912,5,912
308,882,5,0
511,1337,6,1405
850,2076,10,2076
752,2531,8,1318
240,1768,5,731
538,1625,8,1573
389,2144,6,1444
880,2775,10,1237
477,1868,6,585
541,1525,7,1525
722,1571,8,1571
0,796,5,796
432,2372,5,994
402,1472,7,384
364,960,4,648
372,1838,5,732
484,1309,6,1040
694,2643,9,2153
200,1131,5,676
400,1960,5,960
336,1144,5,1144
576,1056,6,1056
0,693,4,693
576,1494,6,1479
482,1646,8,1594
352,864,5,864
750,1566,8,1566
497,1395,6,723
539,1208,4,780
180,1513,5,939
560,1367,6,884
386,955,5,955
210,1077,3,1007
572,1056,5,1056
615,1553,7,756
865,1614,7,1614
1390,2042,8,2042
326,1073,5,1073
240,1285,5,672
550,2117,6,1205
0,605,4,528
300,1150,5,1150
400,1456,6,728
588,999,7,944
564,1500,6,750
375,1336,5,1165
398,1593,6,839
836,2184,9,1104
573,1560,7,1560
312,1644,5,728
286,630,4,630
504,1113,6,1143
947,2172,7,1063
384,1346,4,560
550,2610,8,1184
936,1958,7,1026
898,1468,8,1468
539,1734,5,0
240,1200,5,768
438,1550,7,1092
440,2230,4,795
240,1639,6,1064
624,864,5,864
440,1621,7,1208
264,987,6,483
628,2519,7,1210
440,1365,5,765
779,2290,8,1128
840,2596,9,1249
352,907,4,907
440,1456,6,855
540,1190,5,1106
684,858,4,858
516,2223,7,2223
672,1005,4,1005
409,1895,7,712
384,1040,5,1040
461,1264,5,1268
578,1761,7,874
888,1034,6,1012
439,1363,7,1385
480,1689,6,1436
839,2113,8,2109
544,1573,7,1573
820,2364,9,2330
645,2034,7,1057
431,1291,6,1291
0,858,5,858
280,1258,6,560
246,438,2,290
440,1400,6,672
240,954,5,920
645,1445,6,1127
525,1072,6,547
0,1664,5,0
441,2134,6,844
380,3194,8,965
0,1824,6,912
422,1756,6,872
576,912,5,912
600,1509,6,1461
216,1608,6,976
397,1316,6,1316
450,1015,5,768
240,1134,5,756
865,1636,8,1623
400,1320,7,660
538,2126,5,1013
525,1128,5,1120
756,1306,5,992
0,1344,4,546
704,2554,7,718
576,893,5,845
668,1933,6,894
264,1218,6,672
534,1969,7,808
556,2090,8,1220
487,1484,5,1484
506,1656,5,1656
210,1224,6,818
390,2054,6,992
576,854,7,832
286,1092,4,546
252,1268,5,1268
550,1661,7,799
502,1668,8,1657
508,1493,6,1478
306,932,6,932
526,1277,7,1277
630,1530,7,1530
484,1344,5,1024
528,860,5,840
626,1314,7,1314
868,1962,7,1391
388,1490,7,788
420,848,6,848
240,672,5,672
252,2340,7,1152
180,1656,5,660
484,1479,7,725
740,1226,7,1226
444,2087,6,832
576,1158,6,1158
480,1154,5,1154
527,1724,7,880
431,1658,6,773
520,1126,4,0
300,1393,5,816
1014,3447,8,728
264,987,6,483
0,1355,5,644
505,2069,7,585
440,1501,7,744
908,1976,8,1976
758,1563,8,1563
288,1111,7,572
270,1502,7,776
452,1733,3,0
706,2728,9,1848
264,1302,5,630
586,1524,7,1332
680,1588,4,0
430,1125,5,1125
480,1200,7,600
520,1640,6,798
525,2127,7,1223
240,972,6,972
466,2020,8,1128
596,1144,5,1144
288,1352,5,1062
484,1316,5,926
592,1924,8,1086
240,1164,5,1164
840,952,5,952
0,2358,8,684
540,1680,6,880
672,1912,6,482
480,1004,6,1004
305,1230,4,747
495,1167,5,915
440,1301,5,1145
445,1453,7,1453
670,1601,8,1581
825,1588,8,1588
264,1095,6,588
368,1050,5,1050
432,960,4,960
280,1456,5,810
462,1489,6,1489
786,1726,7,1726
484,2082,7,1362
484,1339,7,1309
1069,2450,8,1284
660,1863,7,879
396,768,5,768
0,334,1,0
384,1136,6,1136
405,1337,6,1237
288,912,5,912
264,1812,5,864
240,2192,5,720
0,1184,5,658
308,1889,7,925
624,1327,5,1063
576,1422,6,1422
576,1632,5,1632
451,1630,7,1630
0,1526,3,1013
420,1040,4,0
216,1647,6,806
576,1981,4,1122
418,1644,6,1416
868,2574,8,1482
520,1824,6,764
520,1350,6,1248
440,958,6,958
370,1848,6,833
490,1620,4,1281
400,1167,6,1158
220,1487,6,735
288,892,5,892
240,804,5,788
0,1140,5,1140
483,1796,6,780
551,2030,6,848
812,2007,10,1017
216,691,5,691
676,1590,8,768
325,1855,6,994
442,1804,7,994
543,1768,7,884
807,3627,10,1930
403,1298,6,1298
484,1801,7,1501
0,630,5,630
440,1103,6,1103
384,1178,4,859
440,1196,4,1196
529,1372,7,1372
296,1431,6,1099
626,1422,7,1422
501,1953,6,1580
440,1121,4,1121
852,2473,8,1143
576,1057,5,1057
602,1110,5,1097
671,2270,8,1152
746,2018,9,2002
440,1386,6,672
1043,1953,8,1082
462,1337,8,1337
648,2285,8,969
826,1718,8,1705
484,1086,5,1024
660,1555,7,1373
567,1902,7,1902
693,2514,7,1216
528,1224,5,1086
460,1054,6,1054
676,2612,8,1225
288,902,5,876
484,2353,7,845
299,1392,6,689
576,1155,5,1109
240,1904,5,1208
208,1158,6,862
502,1362,6,611
429,2291,7,975
250,1317,4,649
928,1734,8,1734
312,1194,6,1194
720,1416,5,876
354,1383,5,1383
871,2002,5,1001
474,1496,8,1496
660,1604,5,984
504,764,5,680
476,1732,6,741
840,1494,7,1494
180,986,6,960
397,1145,7,1145
0,1484,6,742
525,1344,6,819
686,1539,5,650
656,2504,9,1122
528,747,4,600
583,2097,7,1108
884,4676,10,3138
624,1176,6,698
0,720,4,720
830,1580,8,1580
0,1440,4,1440
540,1476,6,738
570,1500,7,1500
216,1348,5,884
884,1200,5,864
514,1394,6,1394
484,1632,6,800
336,912,5,912
864,2624,6,1370
349,1696,5,1140
440,1230,5,440
440,2727,8,853
429,1456,6,728
660,864,4,864
380,1709,6,970
528,1665,8,810
656,2646,7,1347
595,1640,7,798
420,1699,3,978
529,1663,4,1364
504,1728,5,1728
462,1845,6,1055
440,1851,6,822
776,1489,8,1489
300,864,6,864
276,1256,5,1256
816,816,5,816
492,1820,7,864
833,2127,7,1104
461,1065,5,1065
312,1200,6,1200
632,1208,7,1187
642,2482,8,1094
527,1720,7,1720
0,840,5,672
496,1294,6,1278
450,1090,5,1090
420,2263,8,1141
440,969,5,969
1248,894,3,894
360,1028,5,1008
492,1958,6,979
895,1795,8,1795
606,1940,9,1930
439,1178,5,1176
400,1482,6,672
554,1428,7,1417
338,864,5,864
200,1111,5,616
420,1470,6,680
440,1116,6,1116
288,864,6,864
498,1297,5,1297
264,1113,5,1113
577,1501,7,1490
614,1547,7,756
678,1947,7,991
908,1717,8,1709
440,1052,6,1010
455,2013,7,1117
388,1266,7,1266
716,2868,9,1992
554,2256,7,952
494,1414,7,1414
471,1721,6,928
434,1552,6,713
528,1128,4,698
358,1118,6,1096
574,1728,6,1728
711,2448,8,1629
452,1473,5,1437
400,1717,7,1156
400,1166,7,856
484,1370,8,1370
480,1724,6,1680
380,1709,7,970
264,987,6,483
216,1802,7,793
360,2345,6,952
264,1068,6,1059
533,1617,6,1604
336,1244,6,1244
252,1180,4,700
480,1223,7,600
612,1686,6,1686
800,1646,8,1638
264,1144,5,864
639,1797,7,939
462,1224,4,0
839,1865,7,992
308,1056,5,1056
820,3140,9,1926
492,1212,6,506
636,1694,8,1686
413,1511,6,802
246,1057,5,1057
560,2290,4,777
786,2183,7,1204
594,3222,7,1673
512,1716,7,880
457,1342,6,1372
437,1504,7,1346
648,1992,8,1053
462,1252,7,600
264,999,5,999
528,1363,4,622
490,1165,6,1127
702,1668,9,1626
853,2376,8,1158
352,1440,5,540
388,1470,6,794
532,1541,7,1541
0,1440,4,1440
438,1146,7,868
481,1494,8,1494
738,2224,9,1462
186,1343,5,731
683,2452,8,1028
540,1977,6,816
504,1767,7,1064
550,1324,8,1324
330,1458,6,912
440,1314,6,1314
529,1575,6,1575
912,1620,9,1620
304,1788,4,1104
240,913,6,814
500,2073,6,1542
492,1441,8,776
225,1690,7,815
576,1437,5,1188
